thermal_demand_MW,electricity_price_Euro_Per_MWh,co2_price,gas_price_Euro_Per_MWh,biomass_Euro_Per_MWh
6.25584366,118.27,63.5,34.55,20
6.37199455,106.94,63.5,34.55,20
6.22310519,102.27,63.5,34.55,20
6.12033834,94.98,63.5,34.55,20
5.96371898,90.63,63.5,34.55,20
5.76015132,89.34,63.5,34.55,20
5.66585305,82.8,63.5,34.55,20
5.55554788,86.15,63.5,34.55,20
5.39265247,82.46,63.5,34.55,20
5.36267812,79.22,63.5,34.55,20
5.35854896,77.53,63.5,34.55,20
5.34442569,76.89,63.5,34.55,20
5.45994835,77.42,63.5,34.55,20
5.77910297,78.45,63.5,34.55,20
6.03449744,80.37,63.5,34.55,20
6.2144915,84.21,63.5,34.55,20
6.20242881,87.57,63.5,34.55,20
6.21577486,89.75,63.5,34.55,20
6.38883983,90.43,63.5,34.55,20
6.38718589,88.91,63.5,34.55,20
6.40575749,84.09,63.5,34.55,20
6.36489008,83.38,63.5,34.55,20
6.3305938,86.26,63.5,34.55,20
6.27857265,90.08,63.5,34.55,20
6.18571633,97.16,63.5,34.55,20
6.17915332,98.96,63.5,34.55,20
6.05480608,95.35,63.5,34.55,20
6.03903754,92.5,63.5,34.55,20
5.93550863,87.73,63.5,34.55,20
5.84526192,85.93,63.5,34.55,20
5.63778482,79.83,63.5,34.55,20
5.3877539,81.93,63.5,31.58,20
5.23187241,79.86,63.5,31.58,20
5.11776695,77.9,63.5,31.58,20
5.1102536,75.72,63.5,31.58,20
5.2274545,75.27,63.5,31.58,20
5.31281469,78.87,63.5,31.58,20
5.50041589,89.11,63.5,31.58,20
5.63105102,103.79,63.5,31.58,20
5.6736421,111.21,63.5,31.58,20
5.78927268,111.45,63.5,31.58,20
5.78742278,105.83,63.5,31.58,20
6.05655847,97.97,63.5,31.58,20
6.08242388,91.11,63.5,31.58,20
6.01117744,88.39,63.5,31.58,20
6.13148053,95.6,63.5,31.58,20
6.19859835,102.84,63.5,31.58,20
6.0822402,118.83,63.5,31.58,20
6.08099546,122.33,63.5,31.58,20
6.31646041,119.45,63.5,31.58,20
6.12880785,111.9,63.5,31.58,20
5.90344717,104.47,63.5,31.58,20
5.7494014,92.87,63.5,31.58,20
5.63331165,90.66,63.5,31.58,20
5.50735795,81.99,63.5,31.58,20
5.24316975,75.91,63.5,30.64,20
5.13846058,68.19,63.5,30.64,20
5.16403181,46.04,63.5,30.64,20
5.09277181,38.37,63.5,30.64,20
5.01284173,37.25,63.5,30.64,20
4.97087809,46.77,63.5,30.64,20
5.28017578,81.4,63.5,30.64,20
5.63025943,89.1,63.5,30.64,20
5.69063521,113.91,63.5,30.64,20
5.69966509,103.82,63.5,30.64,20
5.82052336,97.51,63.5,30.64,20
5.89634728,91.53,63.5,30.64,20
5.88154863,86.84,63.5,30.64,20
5.9428061,87.66,63.5,30.64,20
6.12834778,95.83,63.5,30.64,20
6.50231091,103.38,63.5,30.64,20
6.4500168,110.13,63.5,30.64,20
6.31381028,118.05,63.5,30.64,20
6.38364975,118.08,63.5,30.64,20
6.14071907,111.99,63.5,30.64,20
5.96096161,103.72,63.5,30.64,20
5.77228069,89.88,63.5,30.64,20
5.73719411,81.2,63.5,30.64,20
5.69677863,54.89,63.5,30.64,20
5.57927327,45.28,63.5,30.94,20
5.43314998,42.51,63.5,30.94,20
5.44677111,38.02,63.5,30.94,20
5.49499397,37.62,63.5,30.94,20
5.4576624,40.65,63.5,30.94,20
5.4588503,71.42,63.5,30.94,20
5.59662531,77.73,63.5,30.94,20
5.70538251,91.25,63.5,30.94,20
5.72480862,119.27,63.5,30.94,20
5.93399227,110,63.5,30.94,20
5.72580549,100.35,63.5,30.94,20
5.84490242,92.23,63.5,30.94,20
5.88526308,86.72,63.5,30.94,20
6.02110385,83.38,63.5,30.94,20
6.04956036,85.97,63.5,30.94,20
5.97372825,90.67,63.5,30.94,20
6.00610505,107.35,63.5,30.94,20
6.05961723,120.13,63.5,30.94,20
6.22251314,90.69,63.5,30.94,20
6.03036114,55.76,63.5,30.94,20
5.91325604,41.85,63.5,30.94,20
6.00530724,40.14,63.5,30.94,20
5.91977009,35.18,63.5,30.94,20
5.83331134,23.09,63.5,30.94,20
5.77442493,32.49,63.5,30.815,20
5.7329727,21.85,63.5,30.815,20
5.77278161,24.39,63.5,30.815,20
5.71406777,27.01,63.5,30.815,20
5.71833319,28.77,63.5,30.815,20
6.00402948,34.36,63.5,30.815,20
6.4870699,52.11,63.5,30.815,20
6.73794179,64.22,63.5,30.815,20
6.4484449,92.04,63.5,30.815,20
6.11457626,113.28,63.5,30.815,20
6.00815256,103.02,63.5,30.815,20
5.91860909,97.67,63.5,30.815,20
5.75451934,91.42,63.5,30.815,20
5.8593612,91.91,63.5,30.815,20
6.053525,97.6,63.5,30.815,20
6.17986383,109.01,63.5,30.815,20
5.98684351,123.82,63.5,30.815,20
6.05368655,135.11,63.5,30.815,20
6.14926967,123.78,63.5,30.815,20
5.88468637,119.02,63.5,30.815,20
5.72493149,106.29,63.5,30.815,20
5.34178795,94.57,63.5,30.815,20
5.34979709,86.77,63.5,30.815,20
5.08437837,79.76,63.5,30.815,20
4.7400299,79.23,63.5,31.99,20
4.82359551,75.89,63.5,31.99,20
4.95286512,74.22,63.5,31.99,20
5.01272226,73.52,63.5,31.99,20
5.10066632,73.94,63.5,31.99,20
5.278844,75.24,63.5,31.99,20
5.68761005,79.32,63.5,31.99,20
6.21275098,101.11,63.5,31.99,20
6.51846921,120.32,63.5,31.99,20
6.81518747,115.63,63.5,31.99,20
6.96884033,106.12,63.5,31.99,20
7.02429549,100.57,63.5,31.99,20
6.78877767,95.72,63.5,31.99,20
6.73585111,93.41,63.5,31.99,20
6.87249963,95.12,63.5,31.99,20
7.10263207,99.51,63.5,31.99,20
7.15473939,107.46,63.5,31.99,20
6.98705565,115.55,63.5,31.99,20
7.23231854,113.55,63.5,31.99,20
6.8020829,104.13,63.5,31.99,20
6.47991056,93.6,63.5,31.99,20
6.25766337,81.5,63.5,31.99,20
6.10131712,77.36,63.5,31.99,20
5.80870495,74.39,63.5,31.99,20
5.77308701,54.49,63.5,31.99,20
5.60138809,51.82,63.5,31.99,20
5.44438732,49.54,63.5,31.99,20
5.46441809,47.95,63.5,31.99,20
5.55766391,47.92,63.5,31.99,20
5.91531283,45.58,63.5,31.99,20
6.3871779,45.62,63.5,31.99,20
6.71925377,51.2,63.5,31.99,20
6.46214567,57.93,63.5,31.99,20
6.23667089,70.53,63.5,31.99,20
6.26195559,69.61,63.5,31.99,20
6.41549662,68.63,63.5,31.99,20
6.25830265,67.31,63.5,31.99,20
6.2804103,62.32,63.5,31.99,20
6.35915718,66.33,63.5,31.99,20
6.3946592,68.06,63.5,31.99,20
6.53365335,69.73,63.5,31.99,20
6.24327194,71.78,63.5,31.99,20
6.29991026,71.7,63.5,31.99,20
6.06241516,70.01,63.5,31.99,20
5.97624488,69.73,63.5,31.99,20
6.01661792,68.53,63.5,31.99,20
5.85996803,62.76,63.5,31.99,20
5.83638136,61.65,63.5,31.99,20
5.70804774,64.02,63.5,31.99,20
5.87827122,62.11,63.5,31.99,20
5.75805469,62.93,63.5,31.99,20
5.72885544,64.01,63.5,31.99,20
5.92191113,64.67,63.5,31.99,20
6.15660102,65.2,63.5,31.99,20
6.25993657,67.31,63.5,31.99,20
6.49801763,71.66,63.5,31.99,20
6.85179926,76.74,63.5,31.99,20
6.83748478,81.14,63.5,31.99,20
6.91829227,80.63,63.5,31.99,20
7.03432044,81.84,63.5,31.99,20
6.91634921,80.39,63.5,31.99,20
7.08444068,77.04,63.5,31.99,20
7.45162996,79.15,63.5,31.99,20
7.69674847,81.83,63.5,31.99,20
7.59898794,84.59,63.5,31.99,20
7.70816489,88.21,63.5,31.99,20
7.62880971,90.54,63.5,31.99,20
7.55181217,82.94,63.5,31.99,20
7.58530926,77.96,63.5,31.99,20
7.47828363,77.41,63.5,31.99,20
7.34219329,74.35,63.5,31.99,20
7.15260333,66.89,63.5,31.99,20
7.19637892,69.65,63.5,31.99,20
7.08209656,66.05,63.5,31.99,20
6.99508157,64.31,63.5,31.99,20
6.77922316,62.04,63.5,31.99,20
7.07508281,63.57,63.5,31.99,20
7.42796334,70.57,63.5,31.99,20
7.75037327,79.95,63.5,31.99,20
7.94581481,83.84,63.5,31.99,20
7.95244107,99.3,63.5,31.99,20
8.11526091,99.99,63.5,31.99,20
8.0960748,94.88,63.5,31.99,20
7.96941382,90.26,63.5,31.99,20
7.84291474,83.86,63.5,31.99,20
8.17975542,82.15,63.5,31.99,20
7.99700604,84.5,63.5,31.99,20
7.61561911,89.44,63.5,31.99,20
7.74762221,98.16,63.5,31.99,20
7.58709697,104.84,63.5,31.99,20
7.46429578,111.37,63.5,31.99,20
7.09624101,107.38,63.5,31.99,20
7.03666371,101.57,63.5,31.99,20
6.85419105,92.14,63.5,31.99,20
6.83241308,89,63.5,31.99,20
6.59432302,86.3,63.5,31.99,20
6.41296168,82.19,63.2,29.655,20
6.20661009,81.4,63.2,29.655,20
6.06261994,80.07,63.2,29.655,20
6.0778511,78.26,63.2,29.655,20
5.98462064,77.59,63.2,29.655,20
5.96921029,83.45,63.2,29.655,20
5.85230409,117.25,63.2,29.655,20
6.13913724,176.2,63.2,29.655,20
6.08596604,250.35,63.2,29.655,20
6.39644087,246.04,63.2,29.655,20
6.54760185,226.83,63.2,29.655,20
