Cost component,Annual cost [€]
Biomass fuel,390676.01045955485
Gas fuel,316627.26907844166
Waste fuel,211796.38284384506
WtE CHP O&M,84766.10838769854
Electricity for heat pump,51696.092658578855
Biomass CHP O&M,29146.67062861393
Heat Pump O&M,20738.769270933757
Gas boiler startup,10872.735
Gas boiler O&M,6178.802783048217
Biomass CHP startup,865.0
WtE CHP startup,861.0000000000001
Solar Collector O&M,275.9768592508276
Heat Pump startup,-3874.1699999999996
Electricity revenue,-270744.6237202595
