id,lat,lon,P_heat_max
0,59.17897939,17.6789,2581
1,59.183727,17.674334,74
2,59.17573382,17.65797,2631
3,59.17422069,17.64884,182
4,59.17727207,17.64674,109
5,59.16825644,17.63341706,518
6,59.1783893,17.6241848,317
7,59.18801402,17.65773446,209
8,59.16344464,17.67942809,358
9,59.16132359,17.6619051,2731
